mixbench/read-only (v0.03-1-g3ace732)
------------------------ Device specifications ------------------------
Device:              GeForce GTX 1080 Ti
CUDA driver version: 10.10
GPU clock rate:      1620 MHz
Memory clock rate:   2752 MHz
Memory bus width:    352 bits
WarpSize:            32
L2 cache size:       2816 KB
Total global mem:    11178 MB
ECC enabled:         No
Compute Capability:  6.1
Total SPs:           3584 (28 MPs x 128 SPs/MP)
Compute throughput:  11612.16 GFlops (theoretical single precision FMAs)
Memory bandwidth:    484.44 GB/sec
-----------------------------------------------------------------------
Total GPU memory 11721506816, free 11567431680
Buffer size:          256MB
Trade-off type:       compute with global memory (block strided)
Elements per thread:  8
Thread fusion degree: 4
----------------------------------------------------------------------------- CSV data -----------------------------------------------------------------------------
Experiment ID, Single Precision ops,,,,              Double precision ops,,,,              Half precision ops,,,,                Integer operations,,, 
Compute iters, Flops/byte, ex.time,  GFLOPS, GB/sec, Flops/byte, ex.time,  GFLOPS, GB/sec, Flops/byte, ex.time,  GFLOPS, GB/sec, Iops/byte, ex.time,   GIOPS, GB/sec
            0,      0.250,    0.38,   89.36, 357.45,      0.125,    0.75,   44.58, 356.66,      0.500,    0.51,  131.60, 263.20,     0.250,    0.37,   90.05, 360.21
            1,      0.750,    0.37,  269.53, 359.38,      0.375,    0.76,  133.02, 354.73,      1.500,    1.31,  153.48, 102.32,     0.750,    0.38,  267.86, 357.14
            2,      1.250,    0.37,  448.92, 359.13,      0.625,    0.76,  222.01, 355.21,      2.500,    2.11,  158.99,  63.60,     1.250,    0.37,  448.92, 359.13
            3,      1.750,    0.37,  631.89, 361.08,      0.875,    0.76,  309.12, 353.28,      3.500,    2.93,  160.40,  45.83,     1.750,    0.37,  626.76, 358.15
            4,      2.250,    0.37,  807.91, 359.07,      1.125,    0.94,  321.25, 285.56,      4.500,    3.71,  162.98,  36.22,     2.250,    0.37,  805.77, 358.12
            5,      2.750,    0.38,  982.15, 357.14,      1.375,    1.14,  324.64, 236.10,      5.500,    4.51,  163.69,  29.76,     2.750,    0.37,  984.91, 358.15
            6,      3.250,    0.37, 1167.18, 359.13,      1.625,    1.33,  326.93, 201.18,      6.500,    5.34,  163.34,  25.13,     3.250,    0.38, 1160.72, 357.14
            7,      3.750,    0.37, 1346.75, 359.13,      1.875,    1.53,  327.91, 174.88,      7.500,    6.11,  164.83,  21.98,     3.750,    0.38, 1332.60, 355.36
            8,      4.250,    0.38, 1518.38, 357.27,      2.125,    1.74,  327.73, 154.23,      8.500,    6.91,  165.20,  19.44,     4.250,    0.40, 1429.26, 336.30
            9,      4.750,    0.37, 1701.07, 358.12,      2.375,    1.94,  328.05, 138.13,      9.500,    7.71,  165.41,  17.41,     4.750,    0.38, 1679.14, 353.50
           10,      5.250,    0.37, 1886.41, 359.32,      2.625,    2.14,  329.25, 125.43,     10.500,    8.51,  165.55,  15.77,     5.250,    0.38, 1850.58, 352.49
           11,      5.750,    0.37, 2059.02, 358.09,      2.875,    2.34,  329.84, 114.73,     11.500,    9.31,  165.77,  14.41,     5.750,    0.42, 1838.34, 319.71
           12,      6.250,    0.37, 2250.55, 360.09,      3.125,    2.54,  330.59, 105.79,     12.500,   10.11,  166.01,  13.28,     6.250,    0.43, 1941.38, 310.62
           13,      6.750,    0.37, 2430.59, 360.09,      3.375,    2.74,  331.13,  98.11,     13.500,   10.96,  165.39,  12.25,     6.750,    0.38, 2361.26, 349.82
           14,      7.250,    0.37, 2610.41, 360.06,      3.625,    2.94,  331.22,  91.37,     14.500,   10.82,  179.79,  12.40,     7.250,    0.39, 2527.32, 348.60
           15,      7.750,    0.37, 2775.43, 358.12,      3.875,    2.87,  362.92,  93.66,     15.500,   11.44,  181.92,  11.74,     7.750,    0.38, 2704.31, 348.94
           16,      8.250,    0.37, 2970.73, 360.09,      4.125,    3.05,  363.02,  88.00,     16.500,   12.17,  181.94,  11.03,     8.250,    0.46, 2403.82, 291.37
           17,      8.750,    0.37, 3142.14, 359.10,      4.375,    3.22,  365.25,  83.49,     17.500,   12.82,  183.22,  10.47,     8.750,    0.39, 3011.17, 344.13
           18,      9.250,    0.37, 3330.81, 360.09,      4.625,    3.41,  363.65,  78.63,     18.500,   13.54,  183.36,   9.91,     9.250,    0.39, 3175.42, 343.29
           20,     10.250,    0.38, 3650.78, 356.17,      5.125,    3.76,  365.67,  71.35,     20.500,   15.09,  182.32,   8.89,    10.250,    0.52, 2644.66, 258.02
           22,     11.250,    0.38, 4017.87, 357.14,      5.625,    4.15,  364.18,  64.74,     22.500,   16.32,  185.07,   8.23,    11.250,    0.45, 3374.28, 299.94
           24,     12.250,    0.38, 4363.13, 356.17,      6.125,    4.47,  367.69,  60.03,     24.500,   17.75,  185.26,   7.56,    12.250,    0.59, 2773.11, 226.38
           28,     14.250,    0.37, 5103.65, 358.15,      7.125,    5.20,  367.96,  51.64,     28.500,   20.79,  183.96,   6.45,    14.250,    0.69, 2791.89, 195.92
           32,     16.250,    0.37, 5819.45, 358.12,      8.125,    5.73,  380.75,  46.86,     32.500,   21.56,  202.30,   6.22,    16.250,    0.70, 3104.84, 191.07
           40,     20.250,    0.38, 7232.17, 357.14,     10.125,    6.72,  404.48,  39.95,     40.500,   26.85,  202.47,   5.00,    20.250,    0.87, 3142.00, 155.16
           48,     24.250,    0.38, 8590.53, 354.25,     12.125,    7.99,  407.41,  33.60,     48.500,   32.13,  202.58,   4.18,    24.250,    1.03, 3159.54, 130.29
           56,     28.250,    0.38, 9980.55, 353.29,     14.125,    9.37,  404.87,  28.66,     56.500,   37.16,  204.08,   3.61,    28.250,    1.20, 3170.62, 112.23
           64,     32.250,    0.38,11363.10, 352.34,     16.125,   10.62,  407.70,  25.28,     64.500,   40.73,  212.55,   3.30,    32.250,    1.30, 3317.95, 102.88
           80,     40.250,    0.43,12681.85, 315.08,     20.125,   12.72,  424.84,  21.11,     80.500,   50.48,  214.04,   2.66,    40.250,    1.63, 3320.89,  82.51
           96,     48.250,    0.50,12959.48, 268.59,     24.125,   15.14,  427.86,  17.74,     96.500,   60.90,  212.66,   2.20,    48.250,    1.94, 3340.85,  69.24
          128,     64.250,    0.66,13076.67, 203.53,     32.125,   20.28,  425.30,  13.24,    128.500,   80.53,  214.18,   1.67,    64.250,    2.58, 3336.56,  51.93
          192,     96.250,    1.01,12847.74, 133.48,     48.125,   30.16,  428.33,   8.90,    192.500,  120.59,  214.26,   1.11,    96.250,    3.86, 3343.98,  34.74
          256,    128.250,    1.48,11665.50,  90.96,     64.125,   40.44,  425.62,   6.64,    256.500,  160.66,  214.29,   0.84,   128.250,    5.15, 3341.28,  26.05
--------------------------------------------------------------------------------------------------------------------------------------------------------------------
