mixbench/read-only (v0.03-1-g3ace732)
------------------------ Device specifications ------------------------
Device:              Tesla P100-SXM2-16GB
CUDA driver version: 10.10
GPU clock rate:      1480 MHz
Memory clock rate:   357 MHz
Memory bus width:    4096 bits
WarpSize:            32
L2 cache size:       4096 KB
Total global mem:    16280 MB
ECC enabled:         Yes
Compute Capability:  6.0
Total SPs:           3584 (56 MPs x 64 SPs/MP)
Compute throughput:  10612.22 GFlops (theoretical single precision FMAs)
Memory bandwidth:    732.16 GB/sec
-----------------------------------------------------------------------
Total GPU memory 17071734784, free 16795959296
Buffer size:          256MB
Trade-off type:       compute with global memory (block strided)
Elements per thread:  8
Thread fusion degree: 4
----------------------------------------------------------------------------- CSV data -----------------------------------------------------------------------------
Experiment ID, Single Precision ops,,,,              Double precision ops,,,,              Half precision ops,,,,                Integer operations,,, 
Compute iters, Flops/byte, ex.time,  GFLOPS, GB/sec, Flops/byte, ex.time,  GFLOPS, GB/sec, Flops/byte, ex.time,  GFLOPS, GB/sec, Iops/byte, ex.time,   GIOPS, GB/sec
            0,      0.250,    0.24,  140.13, 560.51,      0.125,    0.45,   74.55, 596.42,      0.500,    0.23,  286.73, 573.46,     0.250,    0.23,  142.80, 571.20
            1,      0.750,    0.23,  429.16, 572.21,      0.375,    0.45,  222.93, 594.47,      1.500,    0.24,  842.46, 561.64,     0.750,    0.24,  427.76, 570.34
            2,      1.250,    0.23,  715.26, 572.21,      0.625,    0.45,  373.40, 597.44,      2.500,    0.24, 1411.84, 564.74,     1.250,    0.24,  713.90, 571.12
            3,      1.750,    0.24,  998.92, 570.81,      0.875,    0.45,  521.90, 596.46,      3.500,    0.24, 1958.91, 559.69,     1.750,    0.24,  999.46, 571.12
            4,      2.250,    0.23, 1285.19, 571.20,      1.125,    0.45,  670.64, 596.12,      4.500,    0.24, 2517.59, 559.46,     2.250,    0.23, 1285.19, 571.20
            5,      2.750,    0.24, 1569.30, 570.65,      1.375,    0.45,  820.72, 596.88,      5.500,    0.24, 3073.77, 558.87,     2.750,    0.24, 1567.80, 570.11
            6,      3.250,    0.24, 1848.59, 568.80,      1.625,    0.45,  968.35, 595.91,      6.500,    0.24, 3630.71, 558.57,     3.250,    0.24, 1851.60, 569.72
            7,      3.750,    0.24, 2138.21, 570.19,      1.875,    0.45, 1119.40, 597.01,      7.500,    0.24, 4138.03, 551.74,     3.750,    0.24, 2122.62, 566.03
            8,      4.250,    0.24, 2423.63, 570.27,      2.125,    0.45, 1269.64, 597.48,      8.500,    0.24, 4794.46, 564.05,     4.250,    0.32, 1763.53, 414.95
