mixbench/read-only (v0.03-1-g3ace732)
------------------------ Device specifications ------------------------
Device:              Quadro K6000
CUDA driver version: 10.10
GPU clock rate:      901 MHz
Memory clock rate:   1502 MHz
Memory bus width:    384 bits
WarpSize:            32
L2 cache size:       1536 KB
Total global mem:    12206 MB
ECC enabled:         No
Compute Capability:  3.5
Total SPs:           2880 (15 MPs x 192 SPs/MP)
Compute throughput:  5192.64 GFlops (theoretical single precision FMAs)
Memory bandwidth:    288.38 GB/sec
-----------------------------------------------------------------------
Total GPU memory 12799574016, free 12719554560
Buffer size:          256MB
Trade-off type:       compute with global memory (block strided)
Elements per thread:  8
Thread fusion degree: 4
Warning:              Half precision computations are not supported
----------------------------------------------------------------------------- CSV data -----------------------------------------------------------------------------
Experiment ID, Single Precision ops,,,,              Double precision ops,,,,              Half precision ops,,,,                Integer operations,,, 
Compute iters, Flops/byte, ex.time,  GFLOPS, GB/sec, Flops/byte, ex.time,  GFLOPS, GB/sec, Flops/byte, ex.time,  GFLOPS, GB/sec, Iops/byte, ex.time,   GIOPS, GB/sec
            0,      0.250,    0.55,   61.11, 244.45,      0.125,    1.08,   31.11, 248.87,      0.500,    0.00,     inf,    inf,     0.250,    0.54,   61.61, 246.45
            1,      0.750,    0.54,  184.75, 246.33,      0.375,    1.08,   93.61, 249.62,      1.500,    0.00,     inf,    inf,     0.750,    0.55,  182.86, 243.81
            2,      1.250,    0.55,  307.00, 245.60,      0.625,    1.08,  155.83, 249.33,      2.500,    0.00,     inf,    inf,     1.250,    0.55,  304.68, 243.74
            3,      1.750,    0.54,  431.16, 246.38,      0.875,    1.08,  218.31, 249.50,      3.500,    0.00,     inf,    inf,     1.750,    0.55,  430.88, 246.22
            4,      2.250,    0.54,  555.10, 246.71,      1.125,    1.08,  280.03, 248.91,      4.500,    0.00,     inf,    inf,     2.250,    0.55,  551.98, 245.32
            5,      2.750,    0.55,  669.47, 243.44,      1.375,    1.07,  343.54, 249.85,      5.500,    0.00,     inf,    inf,     2.750,    0.59,  624.19, 226.98
            6,      3.250,    0.54,  800.58, 246.33,      1.625,    1.08,  402.51, 247.70,      6.500,    0.00,     inf,    inf,     3.250,    0.67,  655.55, 201.71
            7,      3.750,    0.54,  924.40, 246.51,      1.875,    1.08,  467.89, 249.54,      7.500,    0.00,     inf,    inf,     3.750,    0.74,  679.04, 181.08
            8,      4.250,    0.55, 1035.30, 243.60,      2.125,    1.07,  530.69, 249.74,      8.500,    0.00,     inf,    inf,     4.250,    1.00,  571.93, 134.57
