mixbench/read-only (v0.03-1-g3ace732)
------------------------ Device specifications ------------------------
Device:              Tesla V100-SXM2-16GB
CUDA driver version: 10.10
GPU clock rate:      1530 MHz
Memory clock rate:   438 MHz
Memory bus width:    4096 bits
WarpSize:            32
L2 cache size:       6144 KB
Total global mem:    16128 MB
ECC enabled:         Yes
Compute Capability:  7.0
Total SPs:           5120 (80 MPs x 64 SPs/MP)
Compute throughput:  15667.20 GFlops (theoretical single precision FMAs)
Memory bandwidth:    898.05 GB/sec
-----------------------------------------------------------------------
Total GPU memory 16914055168, free 16581066752
Buffer size:          256MB
Trade-off type:       compute with global memory (block strided)
Elements per thread:  8
Thread fusion degree: 4
----------------------------------------------------------------------------- CSV data -----------------------------------------------------------------------------
Experiment ID, Single Precision ops,,,,              Double precision ops,,,,              Half precision ops,,,,                Integer operations,,, 
Compute iters, Flops/byte, ex.time,  GFLOPS, GB/sec, Flops/byte, ex.time,  GFLOPS, GB/sec, Flops/byte, ex.time,  GFLOPS, GB/sec, Iops/byte, ex.time,   GIOPS, GB/sec
            0,      0.250,    0.16,  204.12, 816.49,      0.125,    0.31,  107.67, 861.34,      0.500,    0.16,  417.01, 834.02,     0.250,    0.16,  209.21, 836.85
            1,      0.750,    0.16,  624.77, 833.03,      0.375,    0.31,  323.40, 862.40,      1.500,    0.16, 1255.53, 837.02,     0.750,    0.16,  627.89, 837.19
            2,      1.250,    0.16, 1044.40, 835.52,      0.625,    0.31,  538.45, 861.52,      2.500,    0.16, 2093.80, 837.52,     1.250,    0.16, 1047.95, 838.36
            3,      1.750,    0.16, 1458.09, 833.20,      0.875,    0.31,  756.47, 864.54,      3.500,    0.16, 2917.34, 833.53,     1.750,    0.16, 1467.42, 838.53
            4,      2.250,    0.16, 1877.30, 834.36,      1.125,    0.31,  974.11, 865.88,      4.500,    0.16, 3748.63, 833.03,     2.250,    0.16, 1876.18, 833.86
            5,      2.750,    0.16, 2296.76, 835.19,      1.375,    0.31, 1185.20, 861.96,      5.500,    0.16, 4580.75, 832.86,     2.750,    0.16, 2286.74, 831.54
            6,      3.250,    0.16, 2693.44, 828.75,      1.625,    0.31, 1402.42, 863.03,      6.500,    0.16, 5426.55, 834.85,     3.250,    0.16, 2710.58, 834.02
            7,      3.750,    0.16, 3124.48, 833.20,      1.875,    0.31, 1612.53, 860.02,      7.500,    0.16, 6267.64, 835.69,     3.750,    0.16, 3128.83, 834.36
            8,      4.250,    0.16, 3534.76, 831.71,      2.125,    0.31, 1823.24, 857.99,      8.500,    0.16, 7100.49, 835.35,     4.250,    0.18, 3239.87, 762.32
            9,      4.750,    0.16, 3945.14, 830.56,      2.375,    0.31, 2039.82, 858.87,      9.500,    0.16, 7910.64, 832.70,     4.750,    0.16, 3935.01, 828.42
           10,      5.250,    0.16, 4331.25, 825.00,      2.625,    0.31, 2249.24, 856.85,     10.500,    0.16, 8623.50, 821.29,     5.250,    0.16, 4328.70, 824.51
           11,      5.750,    0.16, 4749.36, 825.98,      2.875,    0.31, 2470.02, 859.14,     11.500,    0.16, 9504.33, 826.46,     5.750,    0.16, 4737.23, 823.87
           12,      6.250,    0.16, 5141.09, 822.57,      3.125,    0.31, 2665.69, 853.02,     12.500,    0.16,10232.01, 818.56,     6.250,    0.18, 4658.68, 745.39
           13,      6.750,    0.16, 5553.46, 822.74,      3.375,    0.31, 2885.69, 855.02,     13.500,    0.16,11074.34, 820.32,     6.750,    0.16, 5548.02, 821.93
           14,      7.250,    0.16, 5963.66, 822.57,      3.625,    0.32, 3072.83, 847.68,     14.500,    0.16,11960.16, 824.84,     7.250,    0.16, 5919.55, 816.49
           15,      7.750,    0.16, 6353.76, 819.84,      3.875,    0.32, 3285.08, 847.76,     15.500,    0.16,12764.92, 823.54,     7.750,    0.17, 6258.35, 807.53
