#Date       Time        gpu   pwr gtemp mtemp    sm   mem   enc   dec    fb  bar1  mclk  pclk rxpci txpci
#YYYYMMDD   HH:MM:SS    Idx     W     C     C     %     %     %     %    MB    MB   MHz   MHz  MB/s  MB/s
 20191221   21:36:47      0    64    43    41    24    28     0     0     0     0   877  1530     0     0
 20191221   21:36:48      0   176    44    44    96   100     0     0 11181     0   877  1530     0     0
 20191221   21:36:49      0   174    45    45   100   100     0     0 11181     0   877  1530     0     0
 20191221   21:36:50      0   181    45    46   100   100     0     0 11181     0   877  1530     0     0
 20191221   21:36:51      0   174    45    46   100   100     0     0 11181     0   877  1530     0     0
 20191221   21:36:52      0   177    46    46    99   100     0     0 11181     0   877  1530     0     0
 20191221   21:36:53      0   189    45    46   100   100     0     0 11181     0   877  1530     0     0
 20191221   21:36:54      0   170    46    46   100   100     0     0 11181     0   877  1530     0     0
 20191221   21:36:55      0   174    46    47   100   100     0     0 11181     0   877  1530     0     0
 20191221   21:36:56      0   178    46    47   100   100     0     0 11181     0   877  1530     0     0
 20191221   21:36:57      0   177    46    47    99   100     0     0 11181     0   877  1530     0     0
 20191221   21:36:59      0   173    46    47   100   100     0     0 11181     0   877  1530     0     0
 20191221   21:37:00      0   178    46    47    99   100     0     0 11181     0   877  1530     0     0
 20191221   21:37:01      0   189    46    47   100   100     0     0 11181     0   877  1530     0     0
 20191221   21:37:02      0   199    46    47   100   100     0     0 11181     0   877  1530     0     0
 20191221   21:37:03      0   178    46    47   100   100     0     0 11181     0   877  1530     0     0
 20191221   21:37:04      0   175    47    48   100   100     0     0 11181     0   877  1530     0     0
 20191221   21:37:05      0   180    47    48    99   100     0     0 11181     0   877  1530     0     0
 20191221   21:37:06      0   171    47    48   100   100     0     0 11181     0   877  1530     0     0
 20191221   21:37:07      0   182    47    48    99   100     0     0 11181     0   877  1530     0     0
 20191221   21:37:08      0   196    47    48   100   100     0     0 11181     0   877  1530     0     0
 20191221   21:37:09      0   217    47    48   100   100     0     0 11181     0   877  1530     0     0
 20191221   21:37:10      0   178    47    48   100   100     0     0 11181     0   877  1530     0     0
 20191221   21:37:11      0   177    47    48   100   100     0     0 11181     0   877  1530     0     0
 20191221   21:37:12      0   183    47    48   100   100     0     0 11181     0   877  1530     0     0
 20191221   21:37:13      0   175    48    48   100   100     0     0 11181     0   877  1530     0     0
 20191221   21:37:14      0   178    48    48    99   100     0     0 11181     0   877  1530     0     0
 20191221   21:37:15      0   189    48    49   100   100     0     0 11181     0   877  1530     0     0
 20191221   21:37:16      0   207    48    49   100   100     0     0 11181     0   877  1530     0     0
 20191221   21:37:17      0   178    48    49   100   100     0     0 11181     0   877  1530     0     0
 20191221   21:37:19      0   177    48    49   100   100     0     0 11181     0   877  1530     0     0
 20191221   21:37:20      0   180    48    49   100   100     0     0 11181     0   877  1530     0     0
 20191221   21:37:21      0   179    48    49   100   100     0     0 11181     0   877  1530     0     0
 20191221   21:37:22      0   182    48    49   100   100     0     0 11181     0   877  1530     0     0
 20191221   21:37:23      0   179    48    50   100   100     0     0 11181     0   877  1530     0     0
 20191221   21:37:24      0   188    48    49   100   100     0     0 11181     0   877  1530     0     0
 20191221   21:37:25      0   209    48    50    99   100     0     0 11181     0   877  1530     0     0
 20191221   21:37:26      0   182    48    50   100   100     0     0 11181     0   877  1530     0     0
 20191221   21:37:27      0   177    48    50   100   100     0     0 11181     0   877  1530     0     0
 20191221   21:37:28      0   182    49    50   100   100     0     0 11181     0   877  1530     0     0
 20191221   21:37:29      0   180    49    50   100   100     0     0 11181     0   877  1530     0     0
 20191221   21:37:30      0   179    49    50   100   100     0     0 11181     0   877  1530     0     0
 20191221   21:37:31      0   176    49    50   100   100     0     0 11181     0   877  1530     0     0
 20191221   21:37:32      0   184    49    50   100   100     0     0 11181     0   877  1530     0     0
#Date       Time        gpu   pwr gtemp mtemp    sm   mem   enc   dec    fb  bar1  mclk  pclk rxpci txpci
#YYYYMMDD   HH:MM:SS    Idx     W     C     C     %     %     %     %    MB    MB   MHz   MHz  MB/s  MB/s
 20191221   21:37:33      0   195    49    50   100   100     0     0 11181     0   877  1530     0     0
 20191221   21:37:34      0   178    49    50   100   100     0     0 11181     0   877  1530     0     0
 20191221   21:37:35      0   180    49    50   100   100     0     0 11181     0   877  1530     0     0
 20191221   21:37:36      0   178    49    50   100   100     0     0 11181     0   877  1530     0     0
 20191221   21:37:37      0   180    49    50   100   100     0     0 11181     0   877  1530     0     0
 20191221   21:37:39      0   180    49    50   100   100     0     0 11181     0   877  1530     0     0
 20191221   21:37:40      0   178    49    51   100   100     0     0 11181     0   877  1530     0     0
 20191221   21:37:41      0   178    49    51   100   100     0     0 11181     0   877  1530     0     0
 20191221   21:37:42      0   190    49    51   100   100     0     0 11181     0   877  1530     0     0
 20191221   21:37:43      0   219    49    51   100   100     0     0 11181     0   877  1530     0     0
 20191221   21:37:44      0   180    49    51   100   100     0     0 11181     0   877  1530     0     0
 20191221   21:37:45      0   179    49    51    99   100     0     0 11181     0   877  1530     0     0
 20191221   21:37:46      0   182    50    51   100   100     0     0 11181     0   877  1530     0     0
 20191221   21:37:47      0   177    50    51   100   100     0     0 11181     0   877  1530     0     0
 20191221   21:37:48      0    66    46    43     0     0     0     0     0     0   877  1530     0     0
 20191221   21:37:49      0    65    46    43     0     0     0     0     0     0   877  1530     0     0
 20191221   21:37:50      0    38    44    42     0     0     0     0     0     0   877   337     0     0
 20191221   21:37:51      0    37    43    41     0     0     0     0     0     0   877   337     0     0
 20191221   21:37:52      0    37    43    40     0     0     0     0     0     0   877   337     0     0
 20191221   21:37:53      0    36    42    40     0     0     0     0     0     0   877   135     0     0
 20191221   21:37:54      0    36    42    39     0     0     0     0     0     0   877   135     0     0
